
# Surface 0 of 1 surfaces

# Curve title: "X(u,v),Y(u,v),Z(v)"
# IsoCurve 0, 25 points
# x y z type
 93.8509  25.1473 -12.7916 i
 84.1444  48.5808 -12.7916 i
 68.7036  68.7036 -12.7916 i
 48.5808  84.1444 -12.7916 i
 25.1473  93.8509 -12.7916 i
 5.94943e-15  97.1616 -12.7916 i
-25.1473  93.8509 -12.7916 i
-48.5808  84.1444 -12.7916 i
-68.7036  68.7036 -12.7916 i
-84.1444  48.5808 -12.7916 i
-93.8509  25.1473 -12.7916 i
-97.1616  1.18989e-14 -12.7916 i
-93.8509 -25.1473 -12.7916 i
-84.1444 -48.5808 -12.7916 i
-68.7036 -68.7036 -12.7916 i
-48.5808 -84.1444 -12.7916 i
-25.1473 -93.8509 -12.7916 i
-1.78483e-14 -97.1616 -12.7916 i
 25.1473 -93.8509 -12.7916 i
 48.5808 -84.1444 -12.7916 i
 68.7036 -68.7036 -12.7916 i
 84.1444 -48.5808 -12.7916 i
 93.8509 -25.1473 -12.7916 i
 97.1616 -2.37977e-14 -12.7916 i

# IsoCurve 12, 25 points
# x y z type
 98  0  0 i
 94.6607  25.3643  0 i
 84.8705  49  0 i
 69.2965  69.2965  0 i
 49  84.8705  0 i
 25.3643  94.6607  0 i
 6.00077e-15  98  0 i
-25.3643  94.6607  0 i
-49  84.8705  0 i
-69.2965  69.2965  0 i
-84.8705  49  0 i
-94.6607  25.3643  0 i
-98  1.20015e-14  0 i
-94.6607 -25.3643  0 i
-84.8705 -49  0 i
-69.2965 -69.2965  0 i
-49 -84.8705  0 i
-25.3643 -94.6607  0 i
-1.80023e-14 -98  0 i
 25.3643 -94.6607  0 i
 49 -84.8705  0 i
 69.2965 -69.2965  0 i
 84.8705 -49  0 i
 94.6607 -25.3643  0 i
 98 -2.40031e-14  0 i

# IsoCurve 13, 25 points
# x y z type
 97.1616  0  12.7916 i
 93.8509  25.1473  12.7916 i
 84.1444  48.5808  12.7916 i
 68.7036  68.7036  12.7916 i
 48.5808  84.1444  12.7916 i
 25.1473  93.8509  12.7916 i
 5.94943e-15  97.1616  12.7916 i
-25.1473  93.8509  12.7916 i
-48.5808  84.1444  12.7916 i
-68.7036  68.7036  12.7916 i
-84.1444  48.5808  12.7916 i
-93.8509  25.1473  12.7916 i
-97.1616  1.18989e-14  12.7916 i
-93.8509 -25.1473  12.7916 i
-84.1444 -48.5808  12.7916 i
-68.7036 -68.7036  12.7916 i
-48.5808 -84.1444  12.7916 i
-25.1473 -93.8509  12.7916 i
-1.78483e-14 -97.1616  12.7916 i
 25.1473 -93.8509  12.7916 i
 48.5808 -84.1444  12.7916 i
 68.7036 -68.7036  12.7916 i
 84.1444 -48.5808  12.7916 i
 93.8509 -25.1473  12.7916 i
 97.1616 -2.37977e-14  12.7916 i

# IsoCurve 14, 25 points
# x y z type
 94.6607  0  25.3643 i
 91.4352  24.5  25.3643 i
 81.9786  47.3304  25.3643 i
 66.9352  66.9352  25.3643 i
 47.3304  81.9786  25.3643 i
 24.5  91.4352  25.3643 i
 5.7963e-15  94.6607  25.3643 i
-24.5  91.4352  25.3643 i
-47.3304  81.9786  25.3643 i
-66.9352  66.9352  25.3643 i
-81.9786  47.3304  25.3643 i
-91.4352  24.5  25.3643 i
-94.6607  1.15926e-14  25.3643 i
-91.4352 -24.5  25.3643 i
-81.9786 -47.3304  25.3643 i
-66.9352 -66.9352  25.3643 i
-47.3304 -81.9786  25.3643 i
-24.5 -91.4352  25.3643 i
-1.73889e-14 -94.6607  25.3643 i
 24.5 -91.4352  25.3643 i
 47.3304 -81.9786  25.3643 i
 66.9352 -66.9352  25.3643 i
 81.9786 -47.3304  25.3643 i
 91.4352 -24.5  25.3643 i
 94.6607 -2.31852e-14  25.3643 i

# IsoCurve 15, 25 points
# x y z type
 90.5402  0  37.503 i
 87.4551  23.4335  37.503 i
 78.4101  45.2701  37.503 i
 64.0216  64.0216  37.503 i
 45.2701  78.4101  37.503 i
 23.4335  87.4551  37.503 i
 5.54399e-15  90.5402  37.503 i
-23.4335  87.4551  37.503 i
-45.2701  78.4101  37.503 i
-64.0216  64.0216  37.503 i
-78.4101  45.2701  37.503 i
-87.4551  23.4335  37.503 i
-90.5402  1.1088e-14  37.503 i
-87.4551 -23.4335  37.503 i
-78.4101 -45.2701  37.503 i
-64.0216 -64.0216  37.503 i
-45.2701 -78.4101  37.503 i
-23.4335 -87.4551  37.503 i
-1.6632e-14 -90.5402  37.503 i
 23.4335 -87.4551  37.503 i
 45.2701 -78.4101  37.503 i
 64.0216 -64.0216  37.503 i
 78.4101 -45.2701  37.503 i
 87.4551 -23.4335  37.503 i
 90.5402 -2.2176e-14  37.503 i

# IsoCurve 16, 25 points
# x y z type
 84.8705  0  49 i
 81.9786  21.9661  49 i
 73.5  42.4352  49 i
 60.0125  60.0125  49 i
 42.4352  73.5  49 i
 21.9661  81.9786  49 i
 5.19682e-15  84.8705  49 i
-21.9661  81.9786  49 i
-42.4352  73.5  49 i
-60.0125  60.0125  49 i
-73.5  42.4352  49 i
-81.9786  21.9661  49 i
-84.8705  1.03936e-14  49 i
-81.9786 -21.9661  49 i
-73.5 -42.4352  49 i
-60.0125 -60.0125  49 i
-42.4352 -73.5  49 i
-21.9661 -81.9786  49 i
-1.55905e-14 -84.8705  49 i
 21.9661 -81.9786  49 i
 42.4352 -73.5  49 i
 60.0125 -60.0125  49 i
 73.5 -42.4352  49 i
 81.9786 -21.9661  49 i
 84.8705 -2.07873e-14  49 i

# IsoCurve 17, 25 points
# x y z type
 77.7486  0  59.6586 i
 75.0994  20.1228  59.6586 i
 67.3323  38.8743  59.6586 i
 54.9766  54.9766  59.6586 i
 38.8743  67.3323  59.6586 i
 20.1228  75.0994  59.6586 i
 4.76073e-15  77.7486  59.6586 i
-20.1228  75.0994  59.6586 i
-38.8743  67.3323  59.6586 i
-54.9766  54.9766  59.6586 i
-67.3323  38.8743  59.6586 i
-75.0994  20.1228  59.6586 i
-77.7486  9.52146e-15  59.6586 i
-75.0994 -20.1228  59.6586 i
-67.3323 -38.8743  59.6586 i
-54.9766 -54.9766  59.6586 i
-38.8743 -67.3323  59.6586 i
-20.1228 -75.0994  59.6586 i
-1.42822e-14 -77.7486  59.6586 i
 20.1228 -75.0994  59.6586 i
 38.8743 -67.3323  59.6586 i
 54.9766 -54.9766  59.6586 i
 67.3323 -38.8743  59.6586 i
 75.0994 -20.1228  59.6586 i
 77.7486 -1.90429e-14  59.6586 i

# IsoCurve 18, 25 points
# x y z type
 69.2965  0  69.2965 i
 66.9352  17.9352  69.2965 i
 60.0125  34.6482  69.2965 i
 49  49  69.2965 i
 34.6482  60.0125  69.2965 i
 17.9352  66.9352  69.2965 i
 4.24318e-15  69.2965  69.2965 i
-17.9352  66.9352  69.2965 i
-34.6482  60.0125  69.2965 i
-49  49  69.2965 i
-60.0125  34.6482  69.2965 i
-66.9352  17.9352  69.2965 i
-69.2965  8.48637e-15  69.2965 i
-66.9352 -17.9352  69.2965 i
-60.0125 -34.6482  69.2965 i
-49 -49  69.2965 i
-34.6482 -60.0125  69.2965 i
-17.9352 -66.9352  69.2965 i
-1.27296e-14 -69.2965  69.2965 i
 17.9352 -66.9352  69.2965 i
 34.6482 -60.0125  69.2965 i
 49 -49  69.2965 i
 60.0125 -34.6482  69.2965 i
 66.9352 -17.9352  69.2965 i
 69.2965 -1.69727e-14  69.2965 i

# IsoCurve 19, 25 points
# x y z type
 59.6586  0  77.7486 i
 57.6258  15.4408  77.7486 i
 51.6659  29.8293  77.7486 i
 42.185  42.185  77.7486 i
 29.8293  51.6659  77.7486 i
 15.4408  57.6258  77.7486 i
 3.65304e-15  59.6586  77.7486 i
-15.4408  57.6258  77.7486 i
-29.8293  51.6659  77.7486 i
-42.185  42.185  77.7486 i
-51.6659  29.8293  77.7486 i
-57.6258  15.4408  77.7486 i
-59.6586  7.30607e-15  77.7486 i
-57.6258 -15.4408  77.7486 i
-51.6659 -29.8293  77.7486 i
-42.185 -42.185  77.7486 i
-29.8293 -51.6659  77.7486 i
-15.4408 -57.6258  77.7486 i
-1.09591e-14 -59.6586  77.7486 i
 15.4408 -57.6258  77.7486 i
 29.8293 -51.6659  77.7486 i
 42.185 -42.185  77.7486 i
 51.6659 -29.8293  77.7486 i
 57.6258 -15.4408  77.7486 i
 59.6586 -1.46121e-14  77.7486 i

# IsoCurve 20, 25 points
# x y z type
 49  0  84.8705 i
 47.3304  12.6821  84.8705 i
 42.4352  24.5  84.8705 i
 34.6482  34.6482  84.8705 i
 24.5  42.4352  84.8705 i
 12.6821  47.3304  84.8705 i
 3.00038e-15  49  84.8705 i
-12.6821  47.3304  84.8705 i
-24.5  42.4352  84.8705 i
-34.6482  34.6482  84.8705 i
-42.4352  24.5  84.8705 i
-47.3304  12.6821  84.8705 i
-49  6.00077e-15  84.8705 i
-47.3304 -12.6821  84.8705 i
-42.4352 -24.5  84.8705 i
-34.6482 -34.6482  84.8705 i
-24.5 -42.4352  84.8705 i
-12.6821 -47.3304  84.8705 i
-9.00115e-15 -49  84.8705 i
 12.6821 -47.3304  84.8705 i
 24.5 -42.4352  84.8705 i
 34.6482 -34.6482  84.8705 i
 42.4352 -24.5  84.8705 i
 47.3304 -12.6821  84.8705 i
 49 -1.20015e-14  84.8705 i

# IsoCurve 21, 25 points
# x y z type
 37.503  0  90.5402 i
 36.2251  9.70648  90.5402 i
 32.4785  18.7515  90.5402 i
 26.5186  26.5186  90.5402 i
 18.7515  32.4785  90.5402 i
 9.70648  36.2251  90.5402 i
 2.29639e-15  37.503  90.5402 i
-9.70648  36.2251  90.5402 i
-18.7515  32.4785  90.5402 i
-26.5186  26.5186  90.5402 i
-32.4785  18.7515  90.5402 i
-36.2251  9.70648  90.5402 i
-37.503  4.59279e-15  90.5402 i
-36.2251 -9.70648  90.5402 i
-32.4785 -18.7515  90.5402 i
-26.5186 -26.5186  90.5402 i
-18.7515 -32.4785  90.5402 i
-9.70648 -36.2251  90.5402 i
-6.88918e-15 -37.503  90.5402 i
 9.70648 -36.2251  90.5402 i
 18.7515 -32.4785  90.5402 i
 26.5186 -26.5186  90.5402 i
 32.4785 -18.7515  90.5402 i
 36.2251 -9.70648  90.5402 i
 37.503 -9.18558e-15  90.5402 i

# IsoCurve 22, 25 points
# x y z type
 25.3643  0  94.6607 i
 24.5  6.56476  94.6607 i
